,.model,Region,Product,MAE
1,arima,R1,AFD,377446.596
2,arima,R1,AFW,17456737.96
3,arima,R1,ANW,20773.9564
4,arima,R1,BFD,1365531.406
5,arima,R1,BFW,82772.45634
6,arima,R1,BNW,70520.18557
7,arima,R1,CFD,479474.8674
8,arima,R1,CFW,4427916.89
9,arima,R1,CNW,84224.13723
10,arima,R1,DFD,108490.936
11,arima,R1,DFW,533020.3406
12,arima,R1,DNW,18128.0899
13,arima,R1,EFD,48881.90416
14,arima,R1,EFW,130734.5825
15,arima,R1,ENW,16489.23474
16,arima,R10,AFD,7019677.479
17,arima,R10,AFW,1644119.347
18,arima,R10,ANW,107396.4228
19,arima,R10,BFD,22609956.42
20,arima,R10,BFW,517576.2832
21,arima,R10,BNW,387417.7546
22,arima,R10,CFD,161784208.3
23,arima,R10,CFW,60455770.96
24,arima,R10,CNW,203774.8373
25,arima,R10,DFD,375305.271
26,arima,R10,DFW,1592263.471
27,arima,R10,DNW,543615.5099
28,arima,R10,EFD,304505.22
29,arima,R10,EFW,1608463.015
30,arima,R10,ENW,441783.3969
31,arima,R2,AFD,24488.611
32,arima,R2,AFW,17064942.6
33,arima,R2,ANW,832.0032592
34,arima,R2,BFD,816753.448
35,arima,R2,BFW,22215.16081
36,arima,R2,BNW,254527.5645
37,arima,R2,CFD,211969.6201
38,arima,R2,CFW,625133812.2
39,arima,R2,CNW,8922.793145
40,arima,R2,DFD,84011.12979
41,arima,R2,DFW,10533.90723
42,arima,R2,DNW,1091.495349
43,arima,R2,EFD,17278.11601
44,arima,R2,EFW,1625562.993
45,arima,R2,ENW,548.7755606
46,arima,R3,AFD,61054.62771
47,arima,R3,AFW,473292.2516
48,arima,R3,ANW,15090.06502
49,arima,R3,BFD,29161.74255
50,arima,R3,BFW,7787.326998
51,arima,R3,BNW,9885.198183
52,arima,R3,CFD,7190.307698
53,arima,R3,CFW,664727.4773
54,arima,R3,CNW,513.243512
55,arima,R3,DFD,46539.12478
56,arima,R3,DFW,177.7838985
57,arima,R3,DNW,5.713330001
58,arima,R3,EFD,3033.016096
59,arima,R3,EFW,194943.9825
60,arima,R3,ENW,1124.901943
61,arima,R4,AFD,267794.2838
62,arima,R4,AFW,1310999.971
63,arima,R4,ANW,9877.785965
64,arima,R4,BFD,112892.7575
65,arima,R4,BFW,15682.54337
66,arima,R4,BNW,148848.5569
67,arima,R4,CFD,163341.137
68,arima,R4,CFW,462112.0977
69,arima,R4,CNW,15465.41715
70,arima,R4,DFD,25867.29462
71,arima,R4,DFW,367552.4752
72,arima,R4,DNW,9651.699629
73,arima,R4,EFD,10906.72487
74,arima,R4,EFW,20631.88589
75,arima,R4,ENW,5638.226985
76,arima,R5,AFD,29568.15895
77,arima,R5,AFW,698992.7475
78,arima,R5,ANW,19035.10076
79,arima,R5,BFD,25341.95991
80,arima,R5,BFW,27771.43795
81,arima,R5,BNW,34183.98824
82,arima,R5,CFD,105240.5593
83,arima,R5,CFW,1150701.322
84,arima,R5,CNW,67715.10253
85,arima,R5,DFD,22829.19065
86,arima,R5,DFW,3844510.649
87,arima,R5,DNW,11884.22206
88,arima,R5,EFD,27567.26009
89,arima,R5,EFW,24241.4419
90,arima,R5,ENW,3688.098412
91,arima,R6,AFD,606126.6251
92,arima,R6,AFW,12976544.85
93,arima,R6,ANW,42783.91427
94,arima,R6,BFD,105693.3139
95,arima,R6,BFW,92305.29711
96,arima,R6,BNW,125984.435
97,arima,R6,CFD,855512.4088
98,arima,R6,CFW,640101.7586
99,arima,R6,CNW,117892.1641
100,arima,R6,DFD,186561.5062
101,arima,R6,DFW,14627765.26
