"",".model","Region","Product","RMSE"
"1","snaive","R1","AFD",57628.1181368956
"2","snaive","R1","AFW",536281.176249922
"3","snaive","R1","ANW",16133.8154197945
"4","snaive","R1","BFD",81573.0756234351
"5","snaive","R1","BFW",100016.665278009
"6","snaive","R1","BNW",122868.900323339
"7","snaive","R1","CFD",552053.952677333
"8","snaive","R1","CFW",522005.044675496
"9","snaive","R1","CNW",47116.5222259312
"10","snaive","R1","DFD",104890.101217099
"11","snaive","R1","DFW",233731.695183459
"12","snaive","R1","DNW",28430.3886712792
"13","snaive","R1","EFD",54484.2484882864
"14","snaive","R1","EFW",62486.4732028727
"15","snaive","R1","ENW",9677.03466977359
"16","snaive","R10","AFD",466848.297986973
"17","snaive","R10","AFW",2874156.8328816
"18","snaive","R10","ANW",144170.500912403
"19","snaive","R10","BFD",363507.49648391
"20","snaive","R10","BFW",529254.097764014
"21","snaive","R10","BNW",616997.514851829
"22","snaive","R10","CFD",3572467.50859962
"23","snaive","R10","CFW",2274139.08252478
"24","snaive","R10","CNW",235563.721032477
"25","snaive","R10","DFD",753534.515909302
"26","snaive","R10","DFW",1011665.28143782
"27","snaive","R10","DNW",221764.873232891
"28","snaive","R10","EFD",376405.986491536
"29","snaive","R10","EFW",475688.031522061
"30","snaive","R10","ENW",345421.531851543
"31","snaive","R2","AFD",23711.4599578629
"32","snaive","R2","AFW",90060.1650749838
"33","snaive","R2","ANW",2677.06306736817
"34","snaive","R2","BFD",27848.399116167
"35","snaive","R2","BFW",26323.6269030947
"36","snaive","R2","BNW",56295.9441996787
"37","snaive","R2","CFD",157665.891470963
"38","snaive","R2","CFW",441401.555653504
"39","snaive","R2","CNW",135906.585565233
"40","snaive","R2","DFD",36875.0909603398
"41","snaive","R2","DFW",12235.3313536387
"42","snaive","R2","DNW",2245.88512618077
"43","snaive","R2","EFD",7582.01820098053
"44","snaive","R2","EFW",18245.8123049281
"45","snaive","R2","ENW",7023.08099530873
"46","snaive","R3","AFD",42622.3728418147
"47","snaive","R3","AFW",81792.4201867141
"48","snaive","R3","ANW",14827.9016272252
"49","snaive","R3","BFD",32842.0462212695
"50","snaive","R3","BFW",11398.8303493531
"51","snaive","R3","BNW",13342.9132251294
"52","snaive","R3","CFD",64512.5310824701
"53","snaive","R3","CFW",219573.753744234
"54","snaive","R3","CNW",27123.1758219178
"55","snaive","R3","DFD",54044.1177804455
"56","snaive","R3","DFW",11417.1216454353
"57","snaive","R3","DNW",1643.1676725155
"58","snaive","R3","EFD",6276.27809029099
"59","snaive","R3","EFW",14412.3905026196
"60","snaive","R3","ENW",7019.9715099137
"61","snaive","R4","AFD",26425.9973006381
"62","snaive","R4","AFW",166393.108831666
"63","snaive","R4","ANW",6287.55384337449
"64","snaive","R4","BFD",28982.7534923789
"65","snaive","R4","BFW",16468.1510801911
"66","snaive","R4","BNW",35134.9778236257
"67","snaive","R4","CFD",103906.047305567
"68","snaive","R4","CFW",161739.090306992
"69","snaive","R4","CNW",40312.529069757
"70","snaive","R4","DFD",27478.4764254983
"71","snaive","R4","DFW",30509.1461696325
"72","snaive","R4","DNW",11871.0291606639
"73","snaive","R4","EFD",9151.50260886156
"74","snaive","R4","EFW",13966.770087127
"75","snaive","R4","ENW",6148.08913403181
"76","snaive","R5","AFD",38738.4391356527
"77","snaive","R5","AFW",240478.689284519
"78","snaive","R5","ANW",22182.5757446395
"79","snaive","R5","BFD",42032.1305669841
"80","snaive","R5","BFW",28354.8937575156
"81","snaive","R5","BNW",63351.6640139257
"82","snaive","R5","CFD",122205.973667411
"83","snaive","R5","CFW",178601.698386848
"84","snaive","R5","CNW",95570.9160780622
"85","snaive","R5","DFD",28932.680484186
"86","snaive","R5","DFW",55697.6001876801
"87","snaive","R5","DNW",26963.8832514903
"88","snaive","R5","EFD",21431.2855424027
"89","snaive","R5","EFW",18557.5321635179
"90","snaive","R5","ENW",10472.0580594265
"91","snaive","R6","AFD",83830.7819359929
"92","snaive","R6","AFW",714030.811660113
"93","snaive","R6","ANW",104304.042746834
"94","snaive","R6","BFD",98646.5069494776
"95","snaive","R6","BFW",111680.347420663
"96","snaive","R6","BNW",160388.902359234
"97","snaive","R6","CFD",746294.602240518
"98","snaive","R6","CFW",580996.586335353
"99","snaive","R6","CNW",76640.9377117304
"100","snaive","R6","DFD",170306.390563204
"101","snaive","R6","DFW",259011.239138382
"102","snaive","R6","DNW",154210.883749062
"103","snaive","R6","EFD",96551.0227807039
"104","snaive","R6","EFW",102243.214933804
"105","snaive","R6","ENW",55305.4548243962
"106","snaive","R7","AFD",94411.3340653547
"107","snaive","R7","AFW",968219.155632305
"108","snaive","R7","ANW",26848.9602529906
"109","snaive","R7","BFD",80004.5832020474
"110","snaive","R7","BFW",167174.260379202
"111","snaive","R7","BNW",137360.11065808
"112","snaive","R7","CFD",1048984.04817868
"113","snaive","R7","CFW",710563.649506503
"114","snaive","R7","CNW",15508.0624192708
"115","snaive","R7","DFD",121257.058901053
"116","snaive","R7","DFW",340138.080784848
"117","snaive","R7","DNW",40962.9710836507
"118","snaive","R7","EFD",127785.823418197
"119","snaive","R7","EFW",69076.9836245523
"120","snaive","R7","ENW",21071.331234642
"121","snaive","R8","AFD",72873.634921463
"122","snaive","R8","AFW",424652.799354955
"123","snaive","R8","ANW",24826.7329035994
"124","snaive","R8","BFD",39656.4412590607
"125","snaive","R8","BFW",30468.5630336144
"126","snaive","R8","BNW",60242.8418984364
"127","snaive","R8","CFD",173318.589116498
"128","snaive","R8","CFW",207137.55494035
"129","snaive","R8","CNW",39652.6585909865
"130","snaive","R8","DFD",43551.8847659509
"131","snaive","R8","DFW",59811.6265174813
"132","snaive","R8","DNW",29447.3032155182
"133","snaive","R8","EFD",23334.5237791561
"134","snaive","R8","EFW",24951.8202408829
"135","snaive","R8","ENW",9950.94635365568
"136","snaive","R9","AFD",10608.1729498219
"137","snaive","R9","AFW",107051.389528581
"138","snaive","R9","ANW",8053.98452113404
"139","snaive","R9","BFD",8524.47456836295
"140","snaive","R9","BFW",8723.53139502576
"141","snaive","R9","BNW",15629.0328128988
"142","snaive","R9","CFD",64022.9125652163
"143","snaive","R9","CFW",98162.1108167505
"144","snaive","R9","CNW",12606.8764304777
"145","snaive","R9","DFD",23405.1276433178
"146","snaive","R9","DFW",21768.1495155958
"147","snaive","R9","DNW",12170.7299151147
"148","snaive","R9","EFD",4281.74419288838
"149","snaive","R9","EFW",9196.95601816166
"150","snaive","R9","ENW",4679.24495333738
